author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306867070/,Москва,sale,flat,16,36,1,41.1,-1,0,33000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315764265/,Москва,sale,flat,12,14,2,49.2,-1,0,30900000.0,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,Собрание клубных домов West Garden
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308136515/,Москва,sale,flat,6,12,3,120.9,-1,0,72200000.0,Мещанский,Протопоповский переулок,17С2,Проспект Мира,
Hutton Development,developer,https://www.cian.ru/sale/flat/313483422/,Москва,sale,flat,10,17,1,51.3,-1,0,38000000.0,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,Lunar
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/306567075/,Москва,sale,flat,2,10,3,115.0,-1,0,101000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303069476/,Москва,sale,flat,10,10,2,60.0,-1,0,60000000.0,Якиманка, Серафимовича,2,Боровицкая,
Downtown Estate,real_estate_agent,https://www.cian.ru/sale/flat/316610258/,Москва,sale,flat,1,11,3,144.0,-1,0,187000000.0,Дорогомилово, Братьев Фонченко,1к4,Парк Победы,Victory Park Residences
ID 55856209,homeowner,https://www.cian.ru/sale/flat/317106023/,Москва,sale,flat,24,25,1,34.0,-1,0,11300000.0,Митино,Муравская ,38к2,Пятницкое шоссе,Мир Митино
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/316666044/,Москва,sale,flat,2,7,2,69.3,-1,0,29785140.0,,,В17 кв-л,Серебряный Бор,Сберсити ЖК
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/317569625/,Москва,sale,flat,12,12,2,50.3,-1,0,14299999.0,Северное Тушино,Туристская ,29К1,Планерная,
ПЯТЬ ЗВЕЗД,real_estate_agent,https://www.cian.ru/sale/flat/316410710/,Москва,sale,flat,11,12,3,65.8,-1,0,18450000.0,Отрадное,проезд Якушкина,1,Отрадное,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314556757/,Москва,sale,flat,8,8,2,125.4,-1,0,350000000.0,Тверской,переулок Брюсов,19,Тверская,Брюсов 19
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/317545885/,Москва,sale,flat,9,22,2,112.0,-1,0,82000000.0,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
ID 129552088,developer,https://www.cian.ru/sale/flat/315769788/,Москва,sale,flat,2,56,3,89.5,-1,0,58131593.0,Проспект Вернадского,,,Юго-Западная,ICE TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317715329/,Москва,sale,flat,5,41,3,95.2,-1,0,95000000.0,Хорошевский,Ленинградский проспект,37,ЦСКА,Прайм Парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315973415/,Москва,sale,flat,8,12,2,93.4,-1,0,59000000.0,Мещанский,Протопоповский переулок,17С2,Проспект Мира,
Пионер,developer,https://www.cian.ru/sale/flat/314967916/,Москва,sale,flat,3,18,3,85.1,-1,0,59165775.0,Донской,м. Ленинский проспект,,Ленинский проспект,Шифт ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/314928229/,Москва,sale,flat,5,10,3,131.0,-1,0,131000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312095964/,Москва,sale,flat,1,19,2,70.0,-1,0,46900000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы
Катерина Иванова,realtor,https://www.cian.ru/sale/flat/312680178/,Москва,sale,flat,39,62,3,79.7,-1,0,35499999.0,Раменки,проспект Генерала Дорохова,вл1к3,Аминьевская,Will Towers
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/316258419/,Москва,sale,flat,1,9,3,53.0,-1,0,12200000.0,Новогиреево,Союзный проспект,10,Новогиреево,
ID 129552088,developer,https://www.cian.ru/sale/flat/316101415/,Москва,sale,flat,3,56,1,41.6,-1,0,28379312.0,Проспект Вернадского,,,Юго-Западная,ICE TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312306225/,Москва,sale,flat,6,36,2,70.6,-1,0,32900000.0,Проспект Вернадского, Лобачевского,,Проспект Вернадского,Событие
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/245277094/,Москва,sale,flat,2,19,3,186.0,-1,0,220000000.0,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
TOUCH,developer,https://www.cian.ru/sale/flat/312659936/,Москва,sale,flat,4,27,2,65.91,-1,0,,Крылатское,Крылатская ,23,Крылатское,Дом Горизонтов
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307958924/,Москва,sale,flat,6,12,3,146.0,-1,0,115000000.0,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/310507662/,Москва,sale,flat,2,16,3,99.0,-1,0,148800000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/317805190/,Москва,sale,flat,6,6,3,72.3,-1,0,45000000.0,Красносельский,Милютинский переулок,19/4С2,Тургеневская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315022074/,Москва,sale,flat,6,6,2,72.3,-1,0,45000000.0,Красносельский,Милютинский переулок,19/4С2,Тургеневская,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/286643532/,Москва,sale,flat,4,8,3,69.8,-1,0,52670973.0,Хамовники,Смоленский бульвар,22/14,Смоленская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316792180/,Москва,sale,flat,2,9,3,75.9,-1,0,65000000.0,Пресненский,Малая Никитская ,16/5,Баррикадная,
Capital Group,developer,https://www.cian.ru/sale/flat/298020354/,Москва,sale,flat,15,67,1,47.5,-1,0,52250000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315456914/,Москва,sale,flat,21,32,3,136.1,-1,0,110000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/310310895/,Москва,sale,flat,6,10,2,64.75,-1,0,70000000.0,Дорогомилово,,3к7,Парк Победы,Виктори Парк Резиденсез ЖК
ID 129511878,developer,https://www.cian.ru/sale/flat/316413184/,Москва,sale,flat,19,35,1,41.8,-1,0,22354000.0,Можайский,,к5,Давыдково,Родина Парк ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/312360519/,Москва,sale,flat,3,12,3,82.5,-1,0,83000000.0,Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316086491/,Москва,sale,flat,6,16,3,124.7,-1,0,199500000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
MR Group,developer,https://www.cian.ru/sale/flat/315223767/,Москва,sale,flat,11,13,3,134.95,-1,0,243314850.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/313896990/,Москва,sale,flat,6,8,3,186.1,-1,0,465250000.0,Эксклюзивная кв-ра в е Арбата3-комн. квартира,6/8 этаж,6/8 этаж,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317319804/,Москва,sale,flat,2,16,1,37.4,-1,0,11800000.0,Дмитровский,Коровинское шоссе,36К1,Грачёвская,
FORMA,developer,https://www.cian.ru/sale/flat/311255397/,Москва,sale,flat,8,29,2,57.1,-1,0,22709526.0,Печатники,,,Нагатинский Затон,Портлэнд ЖК
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316440107/,Москва,sale,flat,12,23,3,82.0,-1,0,30000000.0,Коньково, Островитянова,53,Беляево,
ФСК,developer,https://www.cian.ru/sale/flat/315831225/,Москва,sale,flat,5,38,2,48.7,-1,0,,Ростокино, Вильгельма Пика,1,Ботанический сад,Режиссёр
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/316934343/,Москва,sale,flat,5,21,2,64.2,-1,0,,Савеловский,,,Гражданская,Петровский Парк 2 ЖК
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,57.7,-1,0,75000000.0,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317057401/,Москва,sale,flat,8,25,3,73.1,-1,0,21700000.0,Метрогородок,Тагильская ,2к1,Бульвар Рокоссовского,Сиреневый парк
ГК Сумма Элементов,developer,https://www.cian.ru/sale/flat/315695337/,Москва,sale,flat,5,85,2,73.69,-1,0,,Пресненский,Краснопресненская набережная,14с3,Москва-Сити,Дом Дау
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314214696/,Москва,sale,flat,24,41,2,72.0,-1,0,68500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/313794918/,Москва,sale,flat,10,17,1,38.0,-1,0,13300000.0,Северное Измайлово,Щелковское шоссе,26К2,Щёлковская,
Мангазея,developer,https://www.cian.ru/sale/flat/316691329/,Москва,sale,flat,3,21,1,48.0,-1,0,26856000.0,Щукино,Щукинская ,3,Стрешнево,Интонация
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/312468301/,Москва,sale,flat,27,41,3,79.0,-1,0,71000000.0,Раменки,Парклэйн тер.,к2,Кутузовская,Hide
Estes,real_estate_agent,https://www.cian.ru/sale/flat/314885086/,Москва,sale,flat,6,12,3,138.0,-1,0,195000000.0,Хамовники,2-я Фрунзенская ,12,Фрунзенская,Пять Звезд
Донстрой,developer,https://www.cian.ru/sale/flat/317431718/,Москва,sale,flat,2,25,3,70.9,-1,0,,Лефортово,,,Площадь Ильича,Символ ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/316906010/,Москва,sale,flat,21,23,2,67.9,-1,0,36600000.0,Хорошево-Мневники, Нижние Мневники,16к3,Терехово ,Остров
Светлана Фадеева,realtor,https://www.cian.ru/sale/flat/316306684/,Москва,sale,flat,3,14,2,51.8,-1,0,18200000.0,Соколиная гора, 10-я Соколиной Горы,6к1,Соколиная гора,
UNIQ Development,developer,https://www.cian.ru/sale/flat/316585938/,Москва,sale,flat,8,25,3,109.3,-1,0,91812000.0,Фили-Давыдково,43-й кв-л,,Кунцевская,Springs
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/314636162/,Москва,sale,flat,11,41,3,115.0,-1,0,115000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/315362374/,Москва,sale,flat,12,13,2,55.0,-1,0,20000000.0,, 1-я Ватутинская,14к1,Ольховая,Russian Design District
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040450/,Москва,sale,flat,6,27,3,112.1,-1,0,105249800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309232689/,Москва,sale,flat,9,12,3,101.2,-1,0,78000000.0,Раменки,проспект Генерала Дорохова,39к1Д,Минская,Собрание клубных домов West Garden
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/313393342/,Москва,sale,flat,3,31,3,95.6,-1,0,33000000.0,Очаково-Матвеевское,Озерная ,42С7,Озёрная,Страна.Озёрная
EraOneHolding,developer,https://www.cian.ru/sale/flat/313850749/,Москва,sale,flat,5,5,3,200.2,-1,0,440440000.0,Арбат, Арбат,39,Смоленская,Artisan
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314971290/,Москва,sale,flat,4,14,3,119.3,-1,0,105000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/314194751/,Москва,sale,flat,14,14,3,93.6,-1,0,70200000.0,Даниловский, Архитектора Щусева,2к1,ЗИЛ,ЗИЛАРТ
Sminex,developer,https://www.cian.ru/sale/flat/316493163/,Москва,sale,flat,15,28,1,36.4,-1,0,24000000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/314443815/,Москва,sale,flat,17,53,3,95.0,-1,0,87000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
Trust Realty,real_estate_agent,https://www.cian.ru/sale/flat/313016553/,Москва,sale,flat,6,12,3,150.0,-1,0,115000000.0,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
AFI Development,developer,https://www.cian.ru/sale/flat/316685747/,Москва,sale,flat,16,53,3,84.2,-1,0,37777213.0,Свиблово,проезд Серебрякова,11к2,Ботанический сад,Afi Tower
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316196150/,Москва,sale,flat,2,17,2,100.0,-1,0,79900000.0,Раменки,Ломоносовский проспект,25к2,Университет,Dominion
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315750490/,Москва,sale,flat,20,32,2,75.8,-1,0,42000000.0,Щукино, Расплетина,21,Октябрьское поле,Дом в сосновой роще
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/317398421/,Москва,sale,flat,14,41,2,48.0,-1,0,30990000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Estes,real_estate_agent,https://www.cian.ru/sale/flat/313392730/,Москва,sale,flat,9,29,3,67.9,-1,0,32000000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,Sydney City
Estes,real_estate_agent,https://www.cian.ru/sale/flat/314798459/,Москва,sale,flat,4,32,1,50.3,-1,0,32900000.0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/317581139/,Москва,sale,flat,17,30,3,67.0,-1,0,35000000.0,Южнопортовый, 1-я Машиностроения,10,Дубровка,Дубровская Слобода
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316672928/,Москва,sale,flat,13,21,1,70.0,-1,0,35700000.0,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Estes,real_estate_agent,https://www.cian.ru/sale/flat/312761872/,Москва,sale,flat,14,15,2,59.2,-1,0,38500000.0,Нагатинский затон, Корабельная,15,Нагатинский Затон,Ривер Парк Коломенское
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315038053/,Москва,sale,flat,5,31,3,86.4,-1,0,39950000.0,Хорошево-Мневники,Карамышевская набережная,2А,Народное Ополчение,Утесов
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/314133589/,Москва,sale,flat,3,12,2,75.2,-1,0,48700000.0,Проспект Вернадского, Удальцова,26,Проспект Вернадского,
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/315560528/,Москва,sale,flat,18,19,3,116.0,-1,0,53000000.0,Южнопортовый,3-й Крутицкий переулок,11,Пролетарская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315824008/,Москва,sale,flat,15,21,3,85.0,-1,0,120000000.0,Пресненский,Мантулинская ,9к5,Москва-Сити,City Park
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316774514/,Москва,sale,flat,15,15,3,237.0,-1,0,125000000.0,Очаково-Матвеевское,Староволынская ,15к2,Матвеевская,Ближняя дача
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317456646/,Москва,sale,flat,3,14,3,102.0,-1,0,175000000.0,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/317141119/,Москва,sale,flat,13,15,3,120.0,-1,0,220000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312730289/,Москва,sale,flat,3,7,3,154.2,-1,0,256983999.0,Хамовники,переулок Коробейников,1,Парк Культуры,Кристалл Хаус
Алеся Лунина,realtor,https://www.cian.ru/sale/flat/315687897/,Москва,sale,flat,3,23,1,21.9,-1,0,12200000.0,, Анны Ахматовой,11к3,Рассказовка,Городские истории (Рассказовка)
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/304779000/,Москва,sale,flat,9,31,1,45.3,-1,0,23900000.0,Филевский парк,Береговой проезд,5к1,Фили,Фили Град
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/315690262/,Москва,sale,flat,4,5,3,75.1,-1,0,29300000.0,Хорошевский,Хорошевское шоссе,34,Беговая,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/317294996/,Москва,sale,flat,31,54,3,75.0,-1,0,32700000.0,Очаково-Матвеевское,,к1,Мичуринский проспект,Левел Мичуринский ЖК
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/316425215/,Москва,sale,flat,2,20,3,70.0,-1,0,35500000.0,Раменки, Василия Ланового,3,Аминьевская,Событие
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314905510/,Москва,sale,flat,5,34,2,86.3,-1,0,39950000.0,Хорошево-Мневники,Карамышевская набережная,2А,Народное Ополчение,Утесов
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/314411947/,Москва,sale,flat,5,23,3,84.2,-1,0,44500000.0,Можайский,Гжатская ,5к4,Давыдково,LIFE-Кутузовский
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/316944758/,Москва,sale,flat,17,19,2,65.0,-1,0,46000000.0,Хорошево-Мневники,Шелепихинская набережная,42к1,Мнёвники,FreeDOM
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302999320/,Москва,sale,flat,4,8,2,69.8,-1,0,52601412.0,Хамовники,Смоленский бульвар,22/14,Смоленская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315343012/,Москва,sale,flat,13,14,3,71.1,-1,0,67000000.0,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,Собрание клубных домов West Garden
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/315150423/,Москва,sale,flat,5,9,3,96.3,-1,0,79000000.0,Тверской,Тверская ,15,Тверская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/317822534/,Москва,sale,flat,4,7,3,101.2,-1,0,83000000.0,Таганский,Большая Андроньевская ,7,Площадь Ильича,The Mostman
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/310880478/,Москва,sale,flat,3,6,3,102.0,-1,0,92666936.0,Пресненский,Садовая-Кудринская ,28-30,Маяковская,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/316413429/,Москва,sale,flat,3,6,3,96.4,-1,0,96800000.0,Очаково-Матвеевское,Староволынская ,15к1,Матвеевская,Ближняя дача
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/312915266/,Москва,sale,flat,6,11,3,116.0,-1,0,149000000.0,Клубный дом в е Мосфильмовской3-комн. квартира,116 м²,,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307255457/,Москва,sale,flat,34,57,3,177.0,-1,0,150000000.0,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313857507/,Москва,sale,flat,3,17,3,102.0,-1,0,175000000.0,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/314013383/,Москва,sale,flat,4,15,3,84.6,-1,0,185000000.0,Хамовники,Олсуфьевский переулок,9к1,Фрунзенская,White Khamovniki
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317367449/,Москва,sale,flat,1,9,1,32.4,-1,0,8200000.0,Орехово-Борисово Северное,Домодедовская ,1К1,Домодедовская,
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/317641264/,Москва,sale,flat,2,9,2,42.6,-1,0,12500000.0,Таганский,Малая Калитниковская ,9,Пролетарская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317648488/,Москва,sale,flat,3,17,1,44.0,-1,0,12700000.0,,бульвар Скандинавский,2к2,Коммунарка,Скандинавия
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317764433/,Москва,sale,flat,12,12,2,37.1,-1,0,12950000.0,Царицыно,Севанская ,15К1,Кавказский бульвар,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/313207708/,Москва,sale,flat,3,5,1,30.6,-1,0,13000000.0,Дмитровский,Икшинская ,10,Яхромская,
Наталия Шпрингер,realtor,https://www.cian.ru/sale/flat/317245762/,Москва,sale,flat,5,9,2,44.8,-1,0,16100000.0,Коньково, Генерала Антонова,5К1,Беляево,
Дмитрий Казаченко,realtor,https://www.cian.ru/sale/flat/315236960/,Москва,sale,flat,8,14,2,53.0,-1,0,16950000.0,Люблино,Краснодарская ,10А,Депо,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317222463/,Москва,sale,flat,3,10,3,83.6,-1,0,18000000.0,Южное Бутово,Южнобутовская ,9,Бульвар Адмирала Ушакова,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316781816/,Москва,sale,flat,2,23,2,49.0,-1,0,18800000.0,Очаково-Матвеевское,Веерная ,4к2,Матвеевская,
Наталия Шпрингер,realtor,https://www.cian.ru/sale/flat/317245651/,Москва,sale,flat,5,9,3,58.5,-1,0,19000000.0,Коньково, Генерала Антонова,5К1,Беляево,
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/296060335/,Москва,sale,flat,51,53,2,37.4,-1,0,20200000.0,Очаково-Матвеевское,,к1,Мичуринский проспект,Левел Мичуринский ЖК
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/310065061/,Москва,sale,flat,4,5,2,57.5,-1,0,22000000.0,Хорошевский,Хорошевское шоссе,21А,Полежаевская,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/316361543/,Москва,sale,flat,18,24,2,62.7,-1,0,27000000.0,Филевский парк,Барклая ,6Ак1,Багратионовская,Барклая 6
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/315974003/,Москва,sale,flat,9,19,2,57.0,-1,0,31000000.0,Хорошево-Мневники,Карамышевская набережная,34,Народное Ополчение,Wellton park
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317712352/,Москва,sale,flat,7,48,1,55.5,-1,0,31500000.0,Ростокино, Вильгельма Пика,3С1,Ботанический сад,Режиссёр
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/312574499/,Москва,sale,flat,1,10,2,63.5,-1,0,34000000.0,Хамовники,Оболенский переулок,7,Фрунзенская,
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/316896018/,Москва,sale,flat,8,20,3,90.8,-1,0,35946863.0,Даниловский,Автозаводская ,26/1,Тульская,FORST
Северная слобода,real_estate_agent,https://www.cian.ru/sale/flat/311350100/,Москва,sale,flat,1,4,3,89.6,-1,0,36100000.0,Северный,Дмитровское шоссе,122Гк1,Физтех,
ONE estate,real_estate_agent,https://www.cian.ru/sale/flat/314384210/,Москва,sale,flat,5,30,3,60.0,-1,0,37000000.0,Хорошево-Мневники,бульвар Генерала Карбышева,15,Бульвар Генерала Карбышева,Union Park
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315606893/,Москва,sale,flat,5,16,3,120.0,-1,0,38200000.0,Ховрино, Ляпидевского,2К1,Речной вокзал,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/313283936/,Москва,sale,flat,20,26,1,53.16,-1,0,42000000.0,Пресненский, Пресненский Вал,,Белорусская,Republic
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315564866/,Москва,sale,flat,25,46,3,57.2,-1,0,44000000.0,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316720773/,Москва,sale,flat,18,40,3,85.0,-1,0,45500000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317610845/,Москва,sale,flat,17,41,3,68.0,-1,0,45900000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314097481/,Москва,sale,flat,2,23,1,114.0,-1,0,48000000.0,Хорошево-Мневники,проезд Проектируемый № 1074,,Терехово ,Остров
Метриум Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/311229180/,Москва,sale,flat,2,15,3,77.0,-1,0,48000000.0,Басманный, Новая Дорога,9,Электрозаводская,Bauman House
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/316703769/,Москва,sale,flat,5,26,2,68.28,-1,0,52000000.0,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/315876688/,Москва,sale,flat,12,13,3,95.4,-1,0,52000000.0,Кунцево,Молодогвардейская ,8к1,Кунцевская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/315975662/,Москва,sale,flat,3,28,3,68.0,-1,0,57500000.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309775039/,Москва,sale,flat,10,11,3,60.0,-1,0,60000000.0,Якиманка, Серафимовича,2,Боровицкая,
ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/315415139/,Москва,sale,flat,7,25,3,99.0,-1,0,69900000.0,Раменки, Янковского,1к1,Аминьевская,Событие
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/317527874/,Москва,sale,flat,12,23,3,112.0,-1,0,72000000.0,Можайский,Гжатская ,5к2,Давыдково,LIFE-Кутузовский
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/314947657/,Москва,sale,flat,10,22,3,104.7,-1,0,72000000.0,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/315506009/,Москва,sale,flat,4,18,3,156.3,-1,0,78000000.0,Раменки,Мосфильмовская ,70к4,Ломоносовский проспект,Воробьевы Горы
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/303869601/,Москва,sale,flat,3,17,3,97.5,-1,0,85000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304247053/,Москва,sale,flat,6,17,3,112.6,-1,0,90000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315556718/,Москва,sale,flat,4,12,3,81.0,-1,0,90000000.0,Тверской,Старопименовский переулок,10,Маяковская,
